JournalTitle	JrId	NlmId	IsoAbbr	MedAbbr	ISSN (Print)	ISSN (Online)
Actualites odonto-stomatologiques	239	0370406	Actual Odontostomatol (Paris)	Actual Odontostomatol (Paris)	0001-7817	1760-611X
Actualidad pediatrica; revista de bibliografia internacional	240	2985171R	Actual Pediatr (Granada)	Actual Pediatr (Granada)	0001-7671	
Actualites pharmacologiques	241	0370407	Actual Pharmacol (Paris)	Actual Pharmacol (Paris)	0567-8854	
Acupuncture & electro-therapeutics research	242	7610364	Acupunct Electrother Res	Acupunct Electrother Res	0360-1293	
Actualites de physiologie pathologique	243	7611901	Actual Physiol Pathol (Paris)	Actual Physiol Pathol (Paris)	0567-8714	
Addictive behaviors	244	7603486	Addict Behav	Addict Behav	0306-4603	1873-6327
Advance data	245	7703830	Adv Data	Adv Data	0147-3956	1933-3889
ADM; revista de la Asociacion Dental Mexicana	246	0370411	ADM	ADM		
Administration in social work	247	7800009	Adm Soc Work	Adm Soc Work	0364-3107	1544-4376
Addictive diseases	248	0425064	Addict Dis	Addict Dis	0094-0267	
Administrative science quarterly	249	0240207	Adm Sci Q	Adm Sci Q	0001-8392	
Adolescence	250	0123667	Adolescence	Adolescence	0001-8449	
Adult education	251	9877760	Adult Educ	Adult Educ	0001-8481	
Advances in anatomy, embryology, and cell biology	252	0407712	Adv Anat Embryol Cell Biol	Adv Anat Embryol Cell Biol	0301-5556	
Advances in applied microbiology	253	0370413	Adv. Appl. Microbiol.	Adv Appl Microbiol	0065-2164	
Administration in mental health	254	0361564	Adm Ment Health	Adm Ment Health	0090-1180	
Advances in biochemical psychopharmacology	255	0211233	Adv. Biochem. Psychopharmacol.	Adv Biochem Psychopharmacol	0065-2229	
Advances in biological and medical physics	256	0370414	Adv Biol Med Phys	Adv Biol Med Phys	0065-2245	
Lifelong learning, the adult years / Adult Education Association of the United States of America	257	9877808	Lifelong Learn Adult Years	Lifelong Learn Adult Years	0148-2165	
Advances in biochemical engineering/biotechnology	258	8307733	Adv. Biochem. Eng. Biotechnol.	Adv Biochem Eng Biotechnol	0724-6145	1616-8542
Advances in biology of skin	259	0426664	Adv Biol Skin	Adv Biol Skin	0065-2253	
Advances in biomedical engineering and medical physics	260	7611904	Adv Biomed Eng Med Phys	Adv Biomed Eng Med Phys	0065-2261	
Advances in biophysics	261	0262476	Adv. Biophys.	Adv Biophys	0065-227X	1873-4618
Advances in cancer research	262	0370416	Adv. Cancer Res.	Adv Cancer Res	0065-230X	
Advances in carbohydrate chemistry and biochemistry	263	0240537	Adv Carbohydr Chem Biochem	Adv Carbohydr Chem Biochem	0065-2318	
Advances in cardiology	264	0270063	Adv Cardiol	Adv Cardiol	0065-2326	1662-2839
Advances in cardiopulmonary diseases	265	14630130R	Adv Cardiopulm Dis	Adv Cardiopulm Dis	0065-2334	
Advances in cell biology	266	0235424	Adv Cell Biol	Adv Cell Biol	0065-2369	
Advances in chemotherapy	267	0236562	Adv Chemother	Adv Chemother	0567-9877	
Advances in child development and behavior	268	0370417	Adv Child Dev Behav	Adv Child Dev Behav	0065-2407	
Advances in contraception : the official journal of the Society for the Advancement of Contraception	269	8607435	Adv Contracept	Adv Contracept	0267-4874	
Advances in chromatography	270	0121020	Adv Chromatogr	Adv Chromatogr	0065-2415	
Advances in clinical chemistry	271	2985173R	Adv Clin Chem	Adv Clin Chem	0065-2423	
Advances in clinical pharmacology	272	0430232	Adv Clin Pharmacol	Adv Clin Pharmacol	0303-2671	
Advances in comparative physiology and biochemistry	273	0370422	Adv Comp Physiol Biochem	Adv Comp Physiol Biochem	0065-244X	
Advances in cyclic nucleotide and protein phosphorylation research	274	8404639	Adv Cyclic Nucleotide Protein Phosphorylation Res	Adv Cyclic Nucleotide Protein Phosphorylation Res	0747-7767	
Advances in cyclic nucleotide research	275	0341362	Adv Cyclic Nucleotide Res	Adv Cyclic Nucleotide Res	0084-5930	
Advances in cytopharmacology	276	1301733	Adv Cytopharmacol	Adv Cytopharmacol	0084-5949	
Advances in drug research	277	0040021	Adv Drug Res	Adv Drug Res	0065-2490	
Advances in enzyme regulation	278	0044263	Adv. Enzyme Regul.	Adv Enzyme Regul	0065-2571	1873-2437
Advances in enzymology and related areas of molecular biology	279	0337243	Adv. Enzymol. Relat. Areas Mol. Biol.	Adv Enzymol Relat Areas Mol Biol	0065-258X	1934-4694
Advances in experimental medicine and biology	280	0121103	Adv. Exp. Med. Biol.	Adv Exp Med Biol	0065-2598	
Advances in fluorine research and dental caries prevention	281	14630160R	Adv Fluorine Res	Adv Fluorine Res	0567-994X	
Advances in health economics and health services research	282	8206631	Adv Health Econ Health Serv Res	Adv Health Econ Health Serv Res	0731-2199	
Aktuelle Traumatologie	283	0421405	Aktuelle Traumatol	Aktuelle Traumatol	0044-6173	
Advances in food research	284	0370423	Adv Food Res	Adv Food Res	0065-2628	
Advances in immunity and cancer therapy	285	8601071	Adv Immun Cancer Ther	Adv Immun Cancer Ther	0178-2134	
Advances in genetics	286	0370421	Adv. Genet.	Adv Genet	0065-2660	
Advances in gerontological research	287	0436264	Adv Gerontol Res	Adv Gerontol Res	0065-2709	
Advances in nutritional research	288	7802764	Adv Nutr Res	Adv Nutr Res	0149-9483	
Advances in heterocyclic chemistry	289	0370424	Adv Heterocycl Chem	Adv Heterocycl Chem	0065-2725	
Advances in human genetics	290	1256347	Adv. Hum. Genet.	Adv Hum Genet	0065-275X	
Advances in immunology	291	0370425	Adv. Immunol.	Adv Immunol	0065-2776	1557-8445
Advances in inorganic biochemistry	292	7909203	Adv. Inorg. Biochem.	Adv Inorg Biochem	0190-0218	
Advances in internal medicine	293	0370427	Adv Intern Med	Adv Intern Med	0065-2822	
Advances in lipid research	294	0000262	Adv. Lipid Res.	Adv Lipid Res	0065-2849	
Advances in metabolic disorders	295	0370430	Adv Metab Disord	Adv Metab Disord	0065-2903	
Advances in microbial physiology	296	0117147	Adv. Microb. Physiol.	Adv Microb Physiol	0065-2911	
Advances in nephrology from the Necker Hospital	297	0311622	Adv. Nephrol. Necker Hosp.	Adv Nephrol Necker Hosp	0084-5957	
Advances in morphogenesis	298	7611906	Adv Morphog	Adv Morphog	0065-2962	
Advances in neurology	299	0367524	Adv Neurol	Adv Neurol	0091-3952	
Shinkei kenkyu no shimpo. Advances in neurological sciences	300	0067457	Shinkei Kenkyu No Shimpo	Shinkei Kenkyu No Shimpo	0001-8724	
Advances in alcohol & substance abuse	301	8107172	Adv Alcohol Subst Abuse	Adv Alcohol Subst Abuse	0270-3106	
Advances in ophthalmology = Fortschritte der Augenheilkunde = Progres en ophtalmologie	302	0263212	Adv Ophthalmol	Adv Ophthalmol	0065-3004	
Advances in oral biology	303	0000261	Adv Oral Biol	Adv Oral Biol	0065-3020	
Advances in oto-rhino-laryngology	304	0242534	Adv. Otorhinolaryngol.	Adv Otorhinolaryngol	0065-3071	1662-2847
Advances in prostaglandin and thromboxane research	305	7610366	Adv Prostaglandin Thromboxane Res	Adv Prostaglandin Thromboxane Res	0361-5952	
Advances in parasitology	306	0370435	Adv. Parasitol.	Adv Parasitol	0065-308X	
Advances in pathobiology	307	7511090	Adv Pathobiol	Adv Pathobiol	0099-1147	
Advances in pediatrics	308	0370436	Adv Pediatr	Adv Pediatr	0065-3101	1878-1926
Advances in pest control research	309	14640020R	Adv Pest Control Res	Adv Pest Control Res	0568-0107	
Advances in pharmaceutical sciences	310	0040024	Adv Pharm Sci	Adv Pharm Sci	0065-3136	
Advances in pharmacology and chemotherapy	312	0237113	Adv Pharmacol Chemother	Adv Pharmacol Chemother	0065-3144	
Adverse drug reactions and acute poisoning reviews	313	8217118	Adverse Drug React Acute Poisoning Rev	Adverse Drug React Acute Poisoning Rev	0260-647X	
Advances in protein chemistry	314	0116732	Adv. Protein Chem.	Adv Protein Chem	0065-3233	1557-8941
Advances in prostaglandin, thromboxane, and leukotriene research	315	8211444	Adv. Prostaglandin Thromboxane Leukot. Res.	Adv Prostaglandin Thromboxane Leukot Res	0732-8141	
Advances in psychobiology	316	0337407	Adv Psychobiol	Adv Psychobiol	0065-3241	
Advances in psychosomatic medicine	317	0101303	Adv Psychosom Med	Adv Psychosom Med	0065-3268	1662-2855
Advancement of science	318	0370412	Adv Sci	Adv Sci	0001-866X	
Advances in steroid biochemistry and pharmacology	319	1251746	Adv Steroid Biochem Pharmacol	Adv Steroid Biochem Pharmacol	0065-339X	
Advances in surgery	320	0045335	Adv Surg	Adv Surg	0065-3411	
Advances in reproductive physiology	321	7513188	Adv Reprod Physiol	Adv Reprod Physiol	0065-3322	
Advances in tracer methodology	322	14640050R	Adv Tracer Methodol	Adv Tracer Methodol	0065-3497	
Advances in sex hormone research	323	7504908	Adv Sex Horm Res	Adv Sex Horm Res	0098-0137	
Advances in socio-dental research	324	0410245	Adv Sociodent Res	Adv Sociodent Res	0092-9816	
Advances in tuberculosis research. Fortschritte der Tuberkuloseforschung. Progres de l'exploration de la tuberculose	325	0347575	Adv Tuberc Res	Adv Tuberc Res	0065-3500	
Advances in veterinary science and comparative medicine	326	0216540	Adv Vet Sci Comp Med	Adv Vet Sci Comp Med	0065-3519	
Advances in shock research	327	7908298	Adv Shock Res	Adv Shock Res	0195-878X	
Advances in virus research	328	0370441	Adv. Virus Res.	Adv Virus Res	0065-3527	1557-8399
Aeromedical reviews	329	0373063	Aeromed Rev	Aeromed Rev	0065-3683	
Aerospace medicine	330	7501696	Aerosp Med	Aerosp Med	0001-9402	
Arztliche Forschung	331	7611907	Arztl Forsch	Arztl Forsch	0001-9496	
Arztliche Jugendkunde	332	0370444	Arztl Jugendkd	Arztl Jugendkd	0001-9518	
Asthetische Medizin	333	0253745	Asthet Med (Berl)	Asthet Med (Berl)	0400-6755	
Aesthetic plastic surgery	334	7701756	Aesthetic Plast Surg	Aesthetic Plast Surg	0364-216X	1432-5241
The AFL-CIO American federationist. AFL-CIO	335	9877748	AFL CIO Am Fed	AFL CIO Am Fed	0149-2489	
The African journal of medical sciences	336	7611908	Afr J Med Sci	Afr J Med Sci	0002-0028	
Aging & leisure living	337	7910857	Aging Leis Living	Aging Leis Living	0194-455X	
Age and ageing	338	0375655	Age Ageing	Age Ageing	0002-0729	1468-2834
Aging	339	0050677	Aging	Aging	0002-0966	
Agents and actions	340	0213341	Agents Actions	Agents Actions	0065-4299	
Aggiornamenti clinicoterapeutici	341	0376310	Aggiorn Clinico Ter	Aggiorn Clinico Ter	0002-0907	
Agents and actions. Supplements	342	7801014	Agents Actions Suppl.	Agents Actions Suppl	0379-0363	
Die Agnes Karll-Schwester, der Krankenpfleger	343	0321470	Agnes Karll Schwest Krankenpfleger	Agnes Karll Schwest Krankenpfleger	0944-9175	
Agressologie: revue internationale de physio-biologie et de pharmacologie appliquees aux effets de l'agression	344	0121575	Agressologie	Agressologie	0002-1148	
Aichi Gakuin Daigaku Shigakkai shi	345	7501066	Aichi Gakuin Daigaku Shigakkai Shi	Aichi Gakuin Daigaku Shigakkai Shi	0044-6912	
Archives of interamerican rheumatology : A.I.R	346	0253226	Arch Interam Rheumatol	Arch Interam Rheumatol		
Air and water pollution	347	0101051	Air Water Pollut	Air Water Pollut	0568-3408	
Aktuelle Gerontologie	348	0421403	Aktuelle Gerontol	Aktuelle Gerontol	0300-5704	
Aktuelle Oto-Rhino-Laryngologie	349	0177222	Aktuelle Otorhinolaryngol	Aktuelle Otorhinolaryngol	0065-5570	
American journal of otolaryngology	350	8000029	Am J Otolaryngol	Am J Otolaryngol	0196-0709	1532-818X
Aktuelle Probleme in der Chirurgie	351	0267464	Aktuelle Probl Chir	Aktuelle Probl Chir	0065-5589	
Aktuelle Probleme in Chirurgie und Orthopadie	352	7705398	Aktuelle Probl Chir Orthop	Aktuelle Probl Chir Orthop	0378-8504	
Adolescent psychiatry	353	1302147	Adolesc Psychiatry	Adolesc Psychiatry	0065-2008	
Akusherstvo i ginekologiia	354	0370456	Akush Ginekol (Mosk)	Akush Ginekol (Mosk)	0002-3906	
Akusherstvo i ginekologiia	355	0370455	Akush Ginekol (Sofiia)	Akush Ginekol (Sofiia)	0324-0959	
The Alabama journal of medical sciences	356	0376521	Ala J Med Sci	Ala J Med Sci	0002-4252	
Brain & development	357	7909235	Brain Dev.	Brain Dev	0387-7604	1872-7131
The Alabama nurse	358	14720150R	Ala Nurse	Ala Nurse	0002-4317	
American College of Physicians observer	359	8102266	Am Coll Physicians Obs	Am Coll Physicians Obs	0279-9529	
Bulletin - Alameda County Dental Society	360	7503327	Bull Alameda Cty Dent Soc	Bull Alameda Cty Dent Soc	0098-3764	
The American journal of pediatric hematology/oncology	361	7908071	Am J Pediatr Hematol Oncol	Am J Pediatr Hematol Oncol	0192-8562	
Alaska medicine	362	0370457	Alaska Med	Alaska Med	0002-4538	
The American Journal of dermatopathology	363	7911005	Am J Dermatopathol	Am J Dermatopathol	0193-1091	1533-0311
The Alaska nurse	364	0042336	Alaska Nurse	Alaska Nurse	0002-4546	
Alcoholism, clinical and experimental research	365	7707242	Alcohol. Clin. Exp. Res.	Alcohol Clin Exp Res	0145-6008	1530-0277
Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie. Albrecht von Graefe's archive for clinical and experimental ophthalmology	366	0044637	Albrecht Von Graefes Arch Klin Exp Ophthalmol	Albrecht Von Graefes Arch Klin Exp Ophthalmol	0065-6100	
Alergia	367	0140326	Alergia	Alergia		
Alexandria dental journal : ADJ	368	9426498	Alex Dent J	Alex Dent J	1110-015X	
L' Alimentation et la vie	369	0064233	Aliment Vie	Aliment Vie	0065-6267	
Applied radiology	370	7708167	Appl Radiol	Appl Radiol	0160-9963	
Allergie und Asthma	371	0313664	Allerg Asthma (Leipz)	Allerg Asthma (Leipz)	0375-8443	
Allergy	372	7804028	Allergy	Allergy	0105-4538	1398-9995
Allergie- und Asthmaforschung	373	0370461	Allerg Asthmaforsch	Allerg Asthmaforsch	0516-7132	
Allergie und Immunologie	374	0314702	Allerg Immunol (Leipz)	Allerg Immunol (Leipz)	0323-4398	
Allied health and behavioral sciences	375	7806480	Allied Health Behav Sci	Allied Health Behav Sci	0190-0331	
AHME journal	376	0362122	AHME J	AHME J	0090-7782	
AJR. American journal of roentgenology	377	7708173	AJR Am J Roentgenol	AJR Am J Roentgenol	0361-803X	1546-3141
AIA journal. American Institute of Architects	378	9875078	AIA J	AIA J	0001-1479	
AJNR. American journal of neuroradiology	379	8003708	AJNR Am J Neuroradiol	AJNR Am J Neuroradiol	0195-6108	1936-959X
Allergologia et immunopathologia	380	0370073	Allergol Immunopathol (Madr)	Allergol Immunopathol (Madr)	0301-0546	1578-1267
Alcohol health and research world	381	0365245	Alcohol Health Res World	Alcohol Health Res World	0090-838X	
Alabama medicine : journal of the Medical Association of the State of Alabama	382	8310343	Ala Med	Ala Med	0738-4947	
The Alma mater	383	14730200R	Alma Mater (Baltimore)	Alma Mater (Baltimore)	0065-6445	
The Alpha omegan	384	14730480R	Alpha Omegan	Alpha Omegan	0002-6417	
Altern und Entwicklung. Aging and development	385	1307126	Altern Entwickl Aging Dev	Altern Entwickl Aging Dev	0084-6252	
The Alumnae magazine	386	7706527	Alumnae Mag	Alumnae Mag	0002-6700	
Alumnae magazine (Columbia University-Presbyterian Hospital School of Nursing Alumnae Association)	387	0042365	Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc	Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc	0069-634X	
Alumni bulletin - School of Dentistry, Indiana University	388	7604908	Alumni Bull Sch Dent Indiana Univ	Alumni Bull Sch Dent Indiana Univ	0073-7119	
Alumni bulletin. University of Michigan. School of Dentistry	389	21430160R	Alumni Bull Univ Mich Sch Dent	Alumni Bull Univ Mich Sch Dent	0887-4387	
Alumni magazine (Columbia University-Presbyterian Hospital School of Nursing Alumni Association)	390	8504267	Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc	Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc	0898-4093	
The American behavioral scientist	391	0055030	Am Behav Sci	Am Behav Sci	0002-7642	
American annals of the deaf	392	0414670	Am Ann Deaf	Am Ann Deaf	0002-726X	
American archives of rehabilitation therapy	393	0370464	Am Arch Rehabil Ther	Am Arch Rehabil Ther	0002-7324	
American Association of Industrial Nurses journal	394	7501070	Am Assoc Ind Nurses J	Am Assoc Ind Nurses J	0098-6097	
American corrective therapy journal	396	0135256	Am Correct Ther J	Am Correct Ther J	0002-8088	
American family physician	397	1272646	Am Fam Physician	Am Fam Physician	0002-838X	1532-0650
American heart journal	398	0370465	Am. Heart J.	Am Heart J	0002-8703	1097-6744
American pharmacy	399	7801164	Am Pharm	Am Pharm	0160-3450	
American rehabilitation	400	7610370	Am Rehabil	Am Rehabil	0362-4048	
The American imago; a psychoanalytic journal for the arts and sciences	401	0370466	Am Imago	Am Imago	0065-860X	1085-7931
American journal of art therapy	402	0237447	Am J Art Ther	Am J Art Ther	0007-4764	
American Industrial Hygiene Association journal	403	0371160	Am Ind Hyg Assoc J	Am Ind Hyg Assoc J	0002-8894	
American education	404	7703832	Am Educ	Am Educ	0002-8304	
Annual meeting - American Institute of Oral Biology	405	7501078	Annu Meet Am Inst Oral Biol	Annu Meet Am Inst Oral Biol	0098-6119	
The American journal of anatomy	406	0376312	Am. J. Anat.	Am J Anat	0002-9106	
American journal of botany	407	0370467	Am. J. Bot.	Am J Bot	0002-9122	1537-2197
The American journal of cardiology	408	0207277	Am. J. Cardiol.	Am J Cardiol	0002-9149	1879-1913
The American journal of Chinese medicine	409	0354717	Am J Chin Med (Gard City N Y)	Am J Chin Med (Gard City N Y)	0090-2942	
The American journal of Chinese medicine	410	7901431	Am. J. Chin. Med.	Am J Chin Med	0192-415X	
The American journal of clinical hypnosis	411	0100626	Am J Clin Hypn	Am J Clin Hypn	0002-9157	2160-0562
The American journal of clinical nutrition	412	0376027	Am. J. Clin. Nutr.	Am J Clin Nutr	0002-9165	1938-3207
American journal of clinical oncology	413	8207754	Am. J. Clin. Oncol.	Am J Clin Oncol	0277-3732	1537-453X
American journal of clinical pathology	414	0370470	Am. J. Clin. Pathol.	Am J Clin Pathol	0002-9173	1943-7722
American journal of community psychology	415	0364535	Am J Community Psychol	Am J Community Psychol	0091-0562	1573-2770
American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics	416	8610224	Am J Orthod Dentofacial Orthop	Am J Orthod Dentofacial Orthop	0889-5406	1097-6752
The American journal of digestive diseases	417	0404011	Am J Dig Dis	Am J Dig Dis	0002-9211	
American journal of economics and sociology	418	14820160R	Am J Econ Sociol	Am J Econ Sociol	0002-9246	
American journal of diseases of children (1960)	419	0370471	Am. J. Dis. Child.	Am J Dis Child	0002-922X	2374-3018
The American journal of drug and alcohol abuse	420	7502510	Am J Drug Alcohol Abuse	Am J Drug Alcohol Abuse	0095-2990	1097-9891
American journal of epidemiology	421	7910653	Am. J. Epidemiol.	Am J Epidemiol	0002-9262	1476-6256
American journal of hematology	422	7610369	Am. J. Hematol.	Am J Hematol	0361-8609	1096-8652
American journal of kidney diseases : the official journal of the National Kidney Foundation	423	8110075	Am. J. Kidney Dis.	Am J Kidney Dis	0272-6386	1523-6838
American journal of health planning	424	7701759	Am J Health Plann	Am J Health Plann	0363-7719	
The American journal of forensic medicine and pathology	425	8108948	Am J Forensic Med Pathol	Am J Forensic Med Pathol	0195-7910	1533-404X
The American journal of gastroenterology	426	0421030	Am. J. Gastroenterol.	Am J Gastroenterol	0002-9270	1572-0241
American journal of hospital pharmacy	427	0370474	Am J Hosp Pharm	Am J Hosp Pharm	0002-9289	
American journal of human genetics	428	0370475	Am. J. Hum. Genet.	Am J Hum Genet	0002-9297	1537-6605
American journal of industrial medicine	429	8101110	Am. J. Ind. Med.	Am J Ind Med	0271-3586	1097-0274
American journal of law & medicine	430	7509572	Am J Law Med	Am J Law Med	0098-8588	
The American journal of medicine	431	0267200	Am. J. Med.	Am J Med	0002-9343	1555-7162
The American journal of medical electronics	432	0061651	Am J Med Electron	Am J Med Electron	0096-5286	
The American journal of the medical sciences	433	0370506	Am. J. Med. Sci.	Am J Med Sci	0002-9629	1538-2990
American journal of medical genetics	434	7708900	Am. J. Med. Genet.	Am J Med Genet	0148-7299	1096-8628
The American journal of medical technology	435	0370505	Am J Med Technol	Am J Med Technol	0002-9335	
American journal of mental deficiency	436	0372647	Am J Ment Defic	Am J Ment Defic	0002-9351	
